つむぎ_00,"「なってみて思うけど、普通の閣僚の何倍もしんどい」。石破茂首相は２７日、内外情勢調査会で講演し、自身の境遇にぼやきを連発した。「新聞を読んだって誰も褒めてくれないし、ネットを見たら本当に悲しくなるし、寝る時間もほとんどないし」とも語った。
１０月１日の就任から間もなく３カ月。少数与党で綱渡りが続く政権運営の苦悩をにじませた。
自民党内で長く非主流派だった首相は、聴衆に自己紹介した際には「いつまでたっても慣れないが、首相の石破茂であります」と名乗り、笑いを誘った。
時事通信政治部2024年12月27日16時48分配信
　https://www.jiji.com/sp/article?k=2024122700771&g=pol#goog_rewarded
　※関連スレ
　【石破首相】「国民の信問うこと当然」内閣不信任可決なら―内外情勢調査会で講演[香味焙煎★]
　https://asahi.5ch.net/test/read.cgi/newsplus/1735284137/
　★12024/12/27(金)22:41:48.03
　※前スレ
　https://asahi.5ch.net/test/read.cgi/newsplus/1735306908/"

つむぎ_00,"国民はもっとしんどいわアホ"

つむぎ_00,"民主と同じで叩かれる側に回ると弱いな"

つむぎ_00,"早期解散もあるかもしれんな"

つむぎ_00,"友達少ないから誰も助けてくれないのかな？"

つむぎ_00,"じゃ辞めて楽になろうかw"

つむぎ_00,"今まで好き勝手に批判してきた自業自得だろ
　これからは歴史としての評価も気にしろ
　日本が存在しているかわからないけどな"

つむぎ_00,"石破『あれ？俺って意外と人気ない？』"

つむぎ_00,"長く政界にいたなら総理にならなくてもしんどいの分かると思うんだが"

つむぎ_00,"協力者いないからな
来夏の衆参同時選挙やれや"

つむぎ_00,"何もやってないのにしんどいとか、典型的な公務員脳"

つむぎ_00,"石破ってビジュアル的にも国の代表って器じゃないよな"

